정지 후: 2026-09-08T22:10:05.1831577+09:00
AccelStatusText: 측정값 수신됨 · ±2g 환산
AccelModeText: 정지 · 마지막 값 보관
AccelXText: 0.949 g
AccelYText: 0.601 g
AccelZText: 0.641 g
AccelXRawText: 원시값: 15544
AccelYRawText: 원시값: 9854
AccelZRawText: 원시값: 10502
AccelTimeText: 마지막 수신: 22:10:04.366
정지 검사: 2초 동안 마지막 수신 시각 유지 확인
22:10:04.365 [RX      ] OK,READ_ACCEL,15544,9854,10502<CR><LF>
22:10:04.355 [TX      ] READ_ACCEL<CR><LF>
22:10:04.118 [RX      ] OK,READ_ACCEL,14974,8531,7711<CR><LF>
22:10:04.105 [TX      ] READ_ACCEL<CR><LF>
22:10:03.871 [RX      ] OK,READ_ACCEL,10524,10843,5767<CR><LF>
22:10:03.857 [TX      ] READ_ACCEL<CR><LF>
22:10:03.614 [RX      ] OK,READ_ACCEL,9793,16151,9745<CR><LF>
22:10:03.604 [TX      ] READ_ACCEL<CR><LF>
22:10:03.367 [RX      ] OK,READ_ACCEL,-10723,5757,26222<CR><LF>
22:10:03.353 [TX      ] READ_ACCEL<CR><LF>
22:10:03.110 [RX      ] OK,READ_ACCEL,-6762,10337,15165<CR><LF>
22:10:03.101 [TX      ] READ_ACCEL<CR><LF>
22:10:02.853 [RX      ] OK,READ_ACCEL,-6977,9527,18016<CR><LF>
22:10:02.839 [TX      ] READ_ACCEL<CR><LF>
22:10:02.606 [RX      ] OK,READ_ACCEL,-1004,12612,12967<CR><LF>
22:10:02.587 [TX      ] READ_ACCEL<CR><LF>
22:10:02.349 [RX      ] OK,READ_ACCEL,-6638,7438,14381<CR><LF>
22:10:02.337 [TX      ] READ_ACCEL<CR><LF>
